dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,FIFO,271,100,126,0.00,16.64,0.794,4.87,0
jobs_100,SJF,271,100,126,0.00,16.64,0.794,4.87,0
jobs_100,Priority,271,100,126,0.00,16.64,0.794,4.87,0
jobs_100,FIFO,272,100,126,0.00,16.64,0.794,4.86,0
jobs_100,SJF,272,100,126,0.00,16.64,0.794,4.86,0
jobs_100,Priority,272,100,126,0.00,16.64,0.794,4.86,0
jobs_100,FIFO,273,100,126,0.00,16.64,0.794,4.84,0
jobs_100,SJF,273,100,126,0.00,16.64,0.794,4.84,0
jobs_100,Priority,273,100,126,0.00,16.64,0.794,4.84,0
jobs_100,FIFO,274,100,126,0.00,16.64,0.794,4.82,0
jobs_100,SJF,274,100,126,0.00,16.64,0.794,4.82,0
jobs_100,Priority,274,100,126,0.00,16.64,0.794,4.82,0
jobs_100,FIFO,275,100,126,0.00,16.64,0.794,4.80,0
jobs_100,SJF,275,100,126,0.00,16.64,0.794,4.80,0
jobs_100,Priority,275,100,126,0.00,16.64,0.794,4.80,0
jobs_100,FIFO,276,100,126,0.00,16.64,0.794,4.78,0
jobs_100,SJF,276,100,126,0.00,16.64,0.794,4.78,0
jobs_100,Priority,276,100,126,0.00,16.64,0.794,4.78,0
jobs_100,FIFO,277,100,126,0.00,16.64,0.794,4.77,0
jobs_100,SJF,277,100,126,0.00,16.64,0.794,4.77,0
jobs_100,Priority,277,100,126,0.00,16.64,0.794,4.77,0
jobs_100,FIFO,278,100,126,0.00,16.64,0.794,4.75,0
jobs_100,SJF,278,100,126,0.00,16.64,0.794,4.75,0
jobs_100,Priority,278,100,126,0.00,16.64,0.794,4.75,0
jobs_100,FIFO,279,100,126,0.00,16.64,0.794,4.73,0
jobs_100,SJF,279,100,126,0.00,16.64,0.794,4.73,0
jobs_100,Priority,279,100,126,0.00,16.64,0.794,4.73,0
jobs_100,FIFO,280,100,126,0.00,16.64,0.794,4.72,0
jobs_100,SJF,280,100,126,0.00,16.64,0.794,4.72,0
jobs_100,Priority,280,100,126,0.00,16.64,0.794,4.72,0
jobs_100,FIFO,281,100,126,0.00,16.64,0.794,4.70,0
jobs_100,SJF,281,100,126,0.00,16.64,0.794,4.70,0
jobs_100,Priority,281,100,126,0.00,16.64,0.794,4.70,0
jobs_100,FIFO,282,100,126,0.00,16.64,0.794,4.68,0
jobs_100,SJF,282,100,126,0.00,16.64,0.794,4.68,0
jobs_100,Priority,282,100,126,0.00,16.64,0.794,4.68,0
jobs_100,FIFO,283,100,126,0.00,16.64,0.794,4.67,0
jobs_100,SJF,283,100,126,0.00,16.64,0.794,4.67,0
jobs_100,Priority,283,100,126,0.00,16.64,0.794,4.67,0
jobs_100,FIFO,284,100,126,0.00,16.64,0.794,4.65,0
jobs_100,SJF,284,100,126,0.00,16.64,0.794,4.65,0
jobs_100,Priority,284,100,126,0.00,16.64,0.794,4.65,0
jobs_100,FIFO,285,100,126,0.00,16.64,0.794,4.63,0
jobs_100,SJF,285,100,126,0.00,16.64,0.794,4.63,0
jobs_100,Priority,285,100,126,0.00,16.64,0.794,4.63,0
jobs_100,FIFO,286,100,126,0.00,16.64,0.794,4.62,0
jobs_100,SJF,286,100,126,0.00,16.64,0.794,4.62,0
jobs_100,Priority,286,100,126,0.00,16.64,0.794,4.62,0
jobs_100,FIFO,287,100,126,0.00,16.64,0.794,4.60,0
